"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A4GALT",779.469636944757,2.25003654754359,0.557353768701706,4.03699889351211,5.41393241009885e-05,0.000662107480372799
"AAAS",171.110617707173,2.12869516298564,0.784070376635248,2.71492869316235,0.00662900420416025,0.0300739554773965
"AAMP",386.521868437603,2.70977861986311,0.612860454473537,4.4215263035545,9.8006130795305e-06,0.000162886189381797
"AARD",31.8220570423869,1.53251262512811,0.583282262661853,2.62739452788152,0.0086041510814568,0.0368559255087145
"AARS2",290.277318550338,1.22206771059977,0.396365442468496,3.0831843033261,0.00204798276045605,0.0120950453581687
"AARSD1",156.568992679972,2.72264609710085,0.369422031295201,7.37001550111994,1.70608198073171e-13,2.50176530910632e-11
"AASS",1122.95151601852,-1.16105176848123,0.378189918875567,-3.07002305067589,0.0021404225065867,0.0125076432673206
"ABCA2",760.266976418694,2.71865715617542,0.509119706066189,5.33991735888923,9.2988960259955e-08,2.96731491747927e-06
"ABCA3",504.955404045461,2.69978323497756,0.62446108418549,4.32338107745977,1.53655981630803e-05,0.000233753996769239
"ABCA6",2251.26809950074,-1.11159986010566,0.432602855836064,-2.56956200152063,0.0101827168387687,0.0418895384751992
"ABCA7",322.500166551538,2.54812967410731,0.479524878902424,5.31386333893599,1.07325120427262e-07,3.38685474968562e-06
"ABCB1",125.055990645051,-2.15006816873439,0.687824398257209,-3.1258969210487,0.00177263673599323,0.0107686466837188
"ABCC4",588.77387164738,-1.98180979704968,0.444829962146826,-4.45520753027768,8.38120810837776e-06,0.000142989576144984
"ABCC6",189.180544421849,1.22244379740102,0.412340860695977,2.96464385153996,0.00303033528173203,0.0164052678769988
"ABCD1",233.209866561523,4.42923258819427,1.02728570910555,4.31158785616784,1.62086346752711e-05,0.000243973592425363
"ABCD2",211.51336981268,-3.01260073089365,0.642794338758176,-4.68672567451938,2.77610674767422e-06,5.54776282320788e-05
"ABCE1",870.111334307022,-1.11065658326482,0.354264006547201,-3.13510986930263,0.00171789758420865,0.0104840114502623
"ABCF1",620.719747350418,1.95613003820001,0.466069935142821,4.19707406700794,2.70385525662038e-05,0.000371182605555793
"ABCF3",264.243615807367,2.14026796384619,0.445949544550113,4.79935003859092,1.59181372758632e-06,3.42471768964203e-05
"ABCG2",52.0600261941308,-1.30376076427502,0.463962388526811,-2.81005701435146,0.00495327244502327,0.0238590124543212
"ABHD13",465.598485705559,-1.39020358804881,0.511168255274191,-2.71965947357804,0.00653491752340412,0.0297020043497657
"ABHD14A",83.5890906743852,1.58456384917923,0.588398021705609,2.69301355668397,0.0070809389763865,0.0316636240857315
"ABHD14B",223.488272789303,2.65020904908882,0.461531974301069,5.7422003168951,9.34541749323064e-09,4.23602287465891e-07
"ABHD15",243.66506125706,2.7198334635638,0.814650289481665,3.33865156458035,0.000841860898506788,0.00596238414766313
"ABHD16B",33.9379612385922,2.50299636027758,0.75104358832398,3.33269120353353,0.000860103474139983,0.00606145006651866
"ABHD17A",1129.01729736598,2.83654280338565,0.407113200914629,6.96745474480566,3.22726213889729e-12,3.42364447330678e-10
"ABHD17C",123.980590615037,-2.64448480869293,1.05527622669681,-2.50596454444028,0.0122117864609787,0.0480094360689453
"ABHD3",284.836071480353,-1.95831217425203,0.531481460297841,-3.6846293248961,0.000229035712953238,0.00212065378790129
"ABHD5",455.228614427311,-2.21217310444351,0.460922667050275,-4.7994452488105,1.59105723129787e-06,3.42471768964203e-05
"ABI1",1366.06823707636,-1.30061007620161,0.320740246189539,-4.05502612052316,5.0128700809113e-05,0.000622907669119594
"ABI3",186.993039406176,1.56516993582984,0.478153807275589,3.2733608140607,0.00106276717840184,0.00719967004281467
"ABR",3452.60749918749,1.1612276534727,0.307499055033662,3.77636169758498,0.000159135855307901,0.00158136796126595
"ABTB2",196.392178387924,1.6646578029713,0.442807431881165,3.75932670303068,0.000170371241240256,0.00166972188466618
"ACADVL",1642.91080017604,1.47886358967351,0.297569777444259,4.96980440142492,6.702047642418e-07,1.61519639043222e-05
"ACAN",212.982989347223,-3.94577141210737,0.848747617820949,-4.64893371039749,3.33655415471277e-06,6.54962953362121e-05
"ACAP2",2712.87135296288,-1.52848731850399,0.318216186835163,-4.80329845475697,1.56072980280892e-06,3.36874406788108e-05
"ACAP3",1139.38681200001,3.25362829172331,0.606969873330661,5.36044445479557,8.30174501313049e-08,2.71426233675204e-06
"ACKR2",196.555733694348,1.15962416069234,0.369039616942513,3.14227553751493,0.00167640194934668,0.01028743399316
"ACO1",1166.97597055468,-1.33839010934318,0.427856133944697,-3.12813117111036,0.00175921651016893,0.0106993002376721
"ACSBG2",20.2049090444992,-2.84098585104148,1.04062575127955,-2.73007452251514,0.00633200100407432,0.0289313695361416
"ACSL1",2193.15727173401,-1.83426602248247,0.614794479379335,-2.98354341817489,0.00284931606407905,0.0156074593743457
"ACSL4",1797.68541422388,-1.22407442261191,0.291565190640706,-4.19828725069013,2.6894135296692e-05,0.000369659982327516
"ACSL5",501.716186566002,-2.52147064746101,0.938283332476247,-2.68732328518138,0.00720272032802178,0.0320936224803544
"ACTBP4",28.0572238502127,-5.37290505261182,1.04036073246934,-5.16446352205066,2.41129493206438e-07,6.85055073007008e-06
"ACTE1P",42.9672414812276,1.75276151066786,0.664965116738213,2.63586986226512,0.00839219104201128,0.0361264533006417
"ACTG1P3",35.276452444466,-3.2823456751617,0.977722024561765,-3.3571358655165,0.000787544028586734,0.00566558060736115
"ACTN4",2849.88763715005,1.02412715538837,0.32422172834492,3.1587246191559,0.00158461144756522,0.00990295859907847
"ACTR3",4079.86899552809,-1.16069347321344,0.327442325837507,-3.54472644990139,0.000393020741085299,0.00326393341111639
"ACTR3BP4",7.75401411167201,-4.86208891316178,1.41224122528278,-3.44281757685428,0.000575687499024591,0.00444159051471816
"ACTR3C",123.778029651668,-1.89673997977526,0.588443467792989,-3.22331724896048,0.0012671512641136,0.00829408100147087
"ACTR8",490.21722435653,-1.11790435561962,0.345538929153126,-3.23524865449883,0.0012153683783774,0.00801299402920953
"ACVR2A",555.438845508675,-1.28857610217492,0.279532725746931,-4.60975042808228,4.03152642744385e-06,7.67953801995609e-05
"ACY1",141.485302584517,1.54125676814776,0.568813628029872,2.70959887773086,0.00673646226484479,0.0304563184869554
"ADAM12",563.425017286524,-3.22178290148974,0.981036099081201,-3.28406151874242,0.00102322584325668,0.00697921211282877
"ADAM17",1063.8237961813,-1.04377218491473,0.375499326825515,-2.77969122804776,0.00544106071482369,0.02561163910702
"ADAM19",872.662439301071,-2.80574894656935,0.537118918837965,-5.22370158295573,1.75381341921618e-07,5.15900513758813e-06
"ADAM23",132.210147367762,3.27868680297527,0.96866714867448,3.38474036975633,0.000712456086507711,0.00523938945033547
"ADAM28",1166.05199374964,-3.80745178933337,0.795078884153389,-4.78877236613773,1.67804696497946e-06,3.57553084076393e-05
"ADAMDEC1",455.95594075902,-8.65291549040019,1.19937846949304,-7.21449960166253,5.41326658296256e-13,6.83304991965856e-11
"ADAMTS10",647.800971734192,1.96781092407126,0.423110277249001,4.65082279935545,3.30613315776599e-06,6.50271397420956e-05
"ADAMTS13",46.8010094328381,1.55023581338682,0.561822211893431,2.75929961573123,0.00579253997123257,0.0269451940845726
"ADAMTS18",58.5759816414044,-2.54921367312337,0.876950004965121,-2.90690878464019,0.00365019619511061,0.0189434069516747
"ADAMTS3",245.796320291811,2.17727526652076,0.738207319832809,2.94940893706375,0.00318382384634277,0.0170282067019202
"ADAMTS6",476.391146470978,-3.32364109422602,0.392290227199148,-8.47240350073458,2.40380791214421e-17,8.56099017853645e-15
"ADAMTS7",900.91566697772,3.66816045053119,0.564758949224652,6.49509043737536,8.29835456578328e-11,6.541596184189e-09
"ADAMTS7P3",85.1165308338287,3.50907219284132,1.11701715658586,3.14146669292596,0.00168103927871255,0.0103063779202715
"ADAMTS9",908.801655521397,-2.38590250014824,0.566970366218128,-4.20816085338457,2.57457576406273e-05,0.000356578743322689
"ADAMTSL1",253.08028729808,-2.08120902363299,0.630564714074569,-3.3005478695195,0.000964962504058647,0.00665463768359117
"ADAMTSL2",245.58362672291,2.38985126586828,0.431500765261492,5.5384635631411,3.0513671281596e-08,1.15696703429687e-06
"ADAP1",513.488026621888,3.21906477367647,0.755083775224579,4.26318890605092,2.01530005483793e-05,0.000292747981612547
"ADARB2",144.271526355053,3.61358771208278,0.78193911696611,4.62131594861674,3.81313535695066e-06,7.34065362538842e-05
"ADAT2",249.776986024136,-1.60603836968414,0.533670193197783,-3.00942115590279,0.00261746005170638,0.0146307800648072
"ADCY9",1623.7439003407,1.44169194924826,0.36516964839566,3.9480059626593,7.88048423509849e-05,0.000895628139365011
"ADCYAP1",26.4552850431744,-2.3671595028678,0.831054871460194,-2.84837931183606,0.00439425165141886,0.021876923348951
"ADGRA2",888.532886217706,2.66270498354451,0.692524943467946,3.84492285607869,0.000120590369664881,0.00126515220020851
"ADGRD2",282.963615197322,2.54520092239412,0.767679872630357,3.31544568658979,0.000914971192218938,0.00638494942533747
"ADGRE2",306.403953698333,-1.35059086838789,0.358460652010577,-3.76775208328315,0.000164724169752253,0.00162475709274923
"ADGRF1",1558.37439267381,3.91324004589218,0.43420584718765,9.01240752799213,2.0158168359921e-19,1.29688551538795e-16
"ADGRF5",996.117414887425,-1.53151896929545,0.482768640124135,-3.17236630967092,0.00151202157541344,0.00954900516150906
"ADGRG5",46.3822813553552,-4.843027580528,1.16525609909266,-4.15619157393734,3.2359651386025e-05,0.000431404336392301
"ADGRL1",346.569011209807,1.58612458691562,0.6340430648143,2.50160387351634,0.012363216896127,0.0484424357124473
"ADGRL4",566.123966748045,-1.80155796492282,0.659700850467569,-2.73087106625063,0.00631671786781858,0.0288756608911717
"ADGRV1",358.095393161388,1.02638367347884,0.368946805951187,2.78192860575851,0.00540369259428361,0.0254778357211329
"ADH1C",313.660894196247,3.24785365225131,1.16873155113723,2.77895608199418,0.00545338976155123,0.0256454622505017
"ADK",529.428237689727,-1.12424736042076,0.343933751714792,-3.26879044239032,0.00108008262579051,0.00728726924518469
"ADORA3",153.37093468846,2.79476511812074,0.854359071106589,3.27118329123712,0.00107098472389143,0.00724058282484428
"ADPGK",1306.35430800562,-1.62034985389076,0.504447892312206,-3.21212533263577,0.00131756881529498,0.00855112022526619
"ADRA1B",38.334659283921,2.9096648753922,0.806197908965037,3.60911984890596,0.000307237650656171,0.00269342756249964
"ADRM1",356.808392709845,2.07546291867546,0.430805120101325,4.81763753919013,1.45267952143808e-06,3.16636506836734e-05
"ADSS1",106.009473840386,1.46643281363407,0.568562116692518,2.57919543103701,0.00990307431418183,0.0409765381995938
"AEBP2",2160.42727746443,1.8047178615992,0.543689233703715,3.31939231039231,0.000902135926795344,0.00631083792494084
